utc time,sun zenith [deg],sun azimuth [deg],sat zenith [deg],sat azimuth [deg],scattering angle [deg],sat ENU coordinates [km],lookat ENU coordinates [km]
0,145.00969610955076,32.66040686168276,53.79073986235408,168.28459886262655,131.45652908315787,"[-747.0192973519828, 154.90968187426196, 558.5566065715161]","[0, 0, 0]"
0,145.00969610955076,32.66040686168276,50.49141701610354,168.28650103047445,40.066922037665606,"[-672.5821827558027, 139.45033934034007, 566.3984495684792]","[0, 0, 0]"
0,145.00969610955076,32.66040686168276,46.80761695254508,168.28874215378494,164.3117363118261,"[-598.0635548184598, 123.97556415885795, 573.4060845657399]","[0, 0, 0]"
20,144.96493768835273,32.768840682319265,46.80730692515313,168.28834768475707,168.08661506469568,"[-598.0567661001194, 123.97845132265807, 573.406611840603]","[0, 0, 0]"
20,144.96493768835273,32.768840682319265,42.687702672987996,168.29089012430512,51.2126408356027,"[-523.465387425889, 108.49127220217203, 579.5790759659535]","[0, 0, 0]"
20,144.96493768835273,32.768840682319265,38.08244873966626,168.29380219869648,46.6483962855602,"[-448.8100418318353, 92.99472340783404, 584.915642009232]","[0, 0, 0]"
40,144.9200475934274,32.87698831252625,38.082061484611366,168.29327691227002,44.60981619046742,"[-448.80324361020297, 92.99760607614382, 584.9160362522249]","[0, 0, 0]"
40,144.9200475934274,32.87698831252625,32.94964019122191,168.29649865050175,109.86910833078694,"[-374.0927144598318, 77.49471841029677, 589.4159468749291]","[0, 0, 0]"
40,144.9200475934274,32.87698831252625,27.267660726860694,168.30017182130666,143.7888540841996,"[-299.33580101249413, 61.98852817129708, 593.0786808718843]","[0, 0, 0]"
60,144.87502633230318,32.98485000575997,27.267186398637666,168.29938509637472,142.30322864768306,"[-299.3289964877293, 61.99140538428794, 593.078941869625]","[0, 0, 0]"
60,144.87502633230318,32.98485000575997,21.04605672039363,168.30340500961537,145.79946839534853,"[-224.53449862765606, 46.48494342521069, 595.9039478942678]","[0, 0, 0]"
60,144.87502633230318,32.98485000575997,14.3434329439506,168.30824188399433,121.90135902216875,"[-149.7112268082368, 30.981246032975818, 597.8909110891838]","[0, 0, 0]"
80,144.82987441139093,33.09242602265229,14.342882710029112,168.306671251505,119.76819158556874,"[-149.70441918382596, 30.984116832822444, 597.8910386885069]","[0, 0, 0]"
80,144.82987441139093,33.09242602265229,7.27246836282198,168.31232498063008,74.68907298176009,"[-74.86118555913367, 15.48621287050363, 599.0396140467292]","[0, 0, 0]"
80,144.82987441139093,33.09242602265229,0.0007060026654547858,-157.18702842958353,18.149147761449218,"[-0.006807518823276041, -0.002863431122590555, 599.3496932906316]","[0, 0, 0]"
100,144.78459233597766,33.19971663090729,0.0,-55.49147701233161,15.54607937368462,"[8.003553375601768e-14, -1.1641532182693482e-13, 599.3496873986863]","[0, 0, 0]"
100,144.78459233597766,33.19971663090729,7.2745085914246905,-11.681757692144368,48.15660355641552,"[74.85670229234901, -15.477223810191761, 598.8211320977512]","[0, 0, 0]"
100,144.78459233597766,33.19971663090729,14.352347599147148,-11.676788183252842,92.39390393449976,"[149.70690877613927, -30.939564997461304, 597.4540406750672]","[0, 0, 0]"
120,144.73918061021007,33.3067221052232,14.352898556663781,-11.675224159502577,95.18286727238718,"[149.7137129839675, -30.936709888086423, 597.4539012593838]","[0, 0, 0]"
120,144.73918061021007,33.3067221052232,21.066599981598188,-11.670482726428745,119.30801211278583,"[224.5485997535493, -46.381149694931814, 595.2483419866373]","[0, 0, 0]"
